SampleID,Latitude,Longitude,Date,Year,Source,SiteName,Detection,Type
114,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,773507.983,Soil
115,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1494574.75,Soil
116,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,900240.929,Soil
117,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,50867.9826,Soil
118,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,1276069.67,Soil
119,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,1206148.04,Soil
120,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,775256.023,Soil
121,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,650271.118,Soil
122,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,332127.721,Soil
123,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,289300.726,Soil
124,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,540144.557,Soil
125,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,908981.132,Soil
126,35.176195,-119.52282,9/23/18,2018,JT_Highway33,NA,62842.061,Soil
127,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,101386.357,Soil
128,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,194032.511,Soil
129,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,358348.331,Soil
130,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,48420.7257,Soil
131,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,190536.43,Soil
132,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,157323.657,Soil
133,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,2726943.4,Soil
134,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,2403555.88,Soil
135,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,2351114.66,Soil
136,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,1284809.87,Soil
137,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,1276069.67,Soil
138,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,2691982.58,Soil
139,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,3024110.3,Soil
140,35.176195,-119.52282,8/23/18,2018,JT_Highway33,NA,2473477.5,Soil
141,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,31464731.5,Soil
142,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,38019883.9,Soil
143,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,41778171.3,Soil
144,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,51479796.8,Soil
145,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,33387576.2,Soil
146,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,40554542.8,Soil
147,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,43089201.7,Soil
148,35.176195,-119.52282,7/25/18,2018,JT_Highway33,NA,36097039.2,Soil
149,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,1949065.31,Soil
150,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,2683242.38,Soil
151,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,1713079.83,Soil
152,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,4046714.08,Soil
153,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,2132609.58,Soil
154,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,2726943.4,Soil
155,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,1835442.67,Soil
156,35.176195,-119.52282,6/19/18,2018,JT_Highway33,NA,1450873.73,Soil
157,35.176195,-119.52282,5/17/18,2018,JT_Highway33,NA,249095.791,Soil
158,35.176195,-119.52282,5/17/18,2018,JT_Highway33,NA,239481.567,Soil
159,35.176195,-119.52282,5/17/18,2018,JT_Highway33,NA,463230.769,Soil
160,35.176195,-119.52282,3/17/18,2018,JT_Highway33,NA,59171.1756,Soil
161,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,399427.286,Soil
162,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,926461.538,Soil
163,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,412537.591,Soil
164,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,1232368.65,Soil
165,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,586467.634,Soil
166,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,54364.0639,Soil
167,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,594333.817,Soil
168,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,270946.299,Soil
169,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,481585.196,Soil
170,35.176195,-119.52282,2/15/18,2018,JT_Highway33,NA,46148.2729,Soil
171,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,1249849.06,Soil
172,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,917721.335,Soil
173,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,1861663.28,Soil
174,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,1660638.61,Soil
175,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,1608197.39,Soil
176,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,1258589.26,Soil
177,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,481585.196,Soil
178,35.176195,-119.52282,1/18/18,2018,JT_Highway33,NA,680861.829,Soil
179,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,111874601,Soil
180,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,90898113.2,Soil
181,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,77001190.1,Soil
182,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,68610595.1,Soil
183,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,92646153.8,Soil
184,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,131103048,Soil
185,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,52179013.1,Soil
186,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,78050014.5,Soil
187,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,926461.538,Soil
188,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,1040084.18,Soil
189,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,518294.049,Soil
190,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,1608197.39,Soil
191,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,272694.34,Soil
192,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,734177.068,Soil
193,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,550632.801,Soil
194,35.176195,-119.52282,12/14/17,2017,JT_Highway33,NA,256961.974,Soil
195,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1547015.97,Soil
196,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1520795.36,Soil
197,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1319770.68,Soil
198,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,331253.701,Soil
199,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1380952.1,Soil
200,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1022603.77,Soil
201,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,680861.829,Soil
202,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,374954.717,Soil
203,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,151205.515,Soil
204,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1188667.63,Soil
205,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,340867.925,Soil
206,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1005123.37,Soil
207,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1625677.79,Soil
208,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1197407.84,Soil
209,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,891500.726,Soil
210,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,552380.842,Soil
211,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,379324.819,Soil
212,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,188788.389,Soil
213,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,27531.6401,Soil
214,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,456238.607,Soil
215,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,1171187.23,Soil
216,35.176195,-119.52282,11/8/17,2017,JT_Highway33,NA,151205.515,Soil
217,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,828571.263,Soil
218,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,748161.393,Soil
219,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1826702.47,Soil
220,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1695599.42,Soil
221,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1389692.31,Soil
222,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,3251355.59,Soil
223,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1957805.52,Soil
224,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,558498.984,Soil
225,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,15295355.6,Soil
226,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,12148882.4,Soil
227,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,15382757.6,Soil
228,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,16256777.9,Soil
229,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,16256777.9,Soil
230,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,15207953.6,Soil
231,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,17305602.3,Soil
232,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,13896923.1,Soil
233,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1695599.42,Soil
234,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,987642.961,Soil
235,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1686859.22,Soil
236,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1748040.64,Soil
237,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,804972.714,Soil
238,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1861663.28,Soil
239,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1669378.81,Soil
240,35.339717,-119.63083,10/23/18,2018,JT_Highway33,NA,1887883.89,Soil
241,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,100512.337,Soil
242,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,1477094.34,Soil
243,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,1302290.28,Soil
244,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,617058.345,Soil
245,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,1721820.03,Soil
246,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,917721.335,Soil
247,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,736799.129,Soil
248,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,2447256.89,Soil
249,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,2429776.49,Soil
250,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,110126.56,Soil
251,35.339717,-119.63083,9/23/18,2018,JT_Highway33,NA,275316.401,Soil
252,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,970162.554,Soil
253,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,1075044.99,Soil
254,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,874020.319,Soil
255,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,1092525.4,Soil
256,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,646775.036,Soil
257,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,1284809.87,Soil
258,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,1258589.26,Soil
259,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,1127486.21,Soil
260,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,254339.913,Soil
261,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,69921.6255,Soil
